Willesden Green	51.5491905212	-0.2212930
Willesden Junction	51.5324363708	-0.2432281
Wimbledon	51.4211540222	-0.2056718
Wimbledon Park	51.4345054626	-0.1995134
Wood Green	51.5917215604	-0.1043507
Wood Lane	51.5099029541	-0.2240986
Woodford	51.6071281433	0.0341177
Woodgrange Park	51.5491905212	0.0446534
Woodside Park	51.6179618835	-0.1855123
Woolwich Arsenal	51.4899330139	0.0690722
